"nombre_carrera","anio_examen_publico","mes_examen_publico","sexo","pais_nacionalidad","anio_nacimiento","anio_ingreso_carrera","promedio_al_graduarse","correlativo_estudiante"
INGENIERIA EN CIENCIAS Y SISTEMAS,"2010","02",M,GUATEMALA,"1984","2003","75","0d9bc138f65b9ff39f0f3c8b940370b7"
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1977","1996","69","6241a6ab8bfafc95ea5c1a4a487c3406"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1979","1997","66","257c6b79ae01c5815633fc737b8b3604"
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,"1985","2004","73","82bc36ec4bd15893747d9adb63b8097d"
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,SIN INFORMACION,"2002","66",fce5d6600149c1d3a569e169755e3ce3
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1985","2005","73","4e4ab665e007b51e1a6fe761606143b0"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1975","2002","65","6e2bddb0a311d690fb47f2aa7dd290aa"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1986","2005","76",b0ebcbdf1efbfad6c399729f96736fba
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1985","2004","73","96fcad5090f482ac14f96d7dc3f5f734"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1983","2007","66",e1a05bc5405e9df7ad3e0bf9ec3a348a
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1973","1992","68",ba41ea5efe6d752e8a12fcfa9731be9e
INGENIERIA ELECTRONICA,"2010","02",M,GUATEMALA,"1983","2002","77",afb752e926b4e612f7541e6a491a7d36
INGENIERIA ELECTRICA,"2010","02",M,GUATEMALA,"1984","2005","65","5f9a2955742ba32ae6b265212532c05f"
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1981","2001","67","26d8f37d92b2dd643e9203b2c1c732b0"
INGENIERIA MECANICA INDUSTRIAL,"2010","02",M,GUATEMALA,"1980","1997","70","5a8caf7f1a34d08b96db02f03a2cf5a1"
INGENIERIA QUIMICA,"2010","02",M,GUATEMALA,"1984","2003","69","74220d96d9861e72afbe4e628c539379"
INGENIERIA MECANICA,"2010","02",M,GUATEMALA,"1983","2008","70","59192e581c357f3fb5e046a8c509adeb"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1983","2004","67","47ff852a17de432495cbdd637a68e9f6"
INGENIERIA MECANICA ELECTRICA,"2010","02",M,GUATEMALA,"1982","2002","70",f03c483101803bf692874f6716f9bb01
INGENIERIA CIVIL,"2010","02",F,GUATEMALA,"1981","2001","69","441595366f8b5190e9f909e84d0c92db"
INGENIERIA MECANICA INDUSTRIAL,"2010","02",M,GUATEMALA,"1983","2002","69","27f6bc1327526e652905a2fc99835cde"
INGENIERIA CIVIL,"2010","02",M,GUATEMALA,"1982","2002","68","023dfd4ca9d2cd4c94befad77ddb0367"
INGENIERIA INDUSTRIAL,"2010","02",M,GUATEMALA,"1984","2005","69","16832334628426bf5f4a8392ef69d36b"
